code,description,last_updated
3,"1,4-alpha-Glucan branching enzyme",2025-09-11 22:49:37
3,"1,4-alpha-Glucan branching enzyme (substance)",2025-09-11 22:49:37
3,"Amylo-(1,4,6)-transglycosylase",2025-09-11 22:49:37
3,Branching enzyme,2025-09-11 22:49:37
19,17-hydrocorticosteroid,2025-09-11 22:49:37
19,17-hydroxycorticoid,2025-09-11 22:49:37
19,17-hydroxycorticosteroid,2025-09-11 22:49:37
19,17-hydroxycorticosteroid (substance),2025-09-11 22:49:37
21,17-ketosteroid,2025-09-11 22:49:37
21,17-ketosteroid (substance),2025-09-11 22:49:37
21,17-oxosteroid,2025-09-11 22:49:37
22,"11-beta,18,21-trihydroxypregn-4-ene-3,20-dione",2025-09-11 22:49:37
22,18-hydroxycorticosterone,2025-09-11 22:49:37
22,18-hydroxycorticosterone (substance),2025-09-11 22:49:37
33,2-acetolactate mutase,2025-09-11 22:49:37
33,2-acetolactate mutase (substance),2025-09-11 22:49:37
38,Parlodel,2025-09-11 22:49:37
43,2-isopropylmalate synthase,2025-09-11 22:49:37
43,2-isopropylmalate synthase (substance),2025-09-11 22:49:37
44,Mesna,2025-09-11 22:49:37
44,Mesna-containing product,2025-09-11 22:49:37
44,Sodium 2-mercaptoethanesulfonate,2025-09-11 22:49:37
44,mesna,2025-09-11 22:49:37
44,MESNA,2025-09-11 22:49:37
44,Product containing mesna (medicinal product),2025-09-11 22:49:37
44,Mesna (substance),2025-09-11 22:49:37
47,3-METHYLCHOLANTHRENE,2025-09-11 22:49:37
48,"24,25-DHCC - 24,25-Dihydroxycholecalciferol",2025-09-11 22:49:37
48,"24,25-dihydroxycholecalciferol",2025-09-11 22:49:37
48,"24,25-dihydroxyvitamin D3",2025-09-11 22:49:37
48,"24,25-dihydroxyvitamin D3 (substance)",2025-09-11 22:49:37
48,24R-dihydroxycalcidiol,2025-09-11 22:49:37
49,25-hydroxycholecalciferol 1-hydroxylase,2025-09-11 22:49:37
49,25-hydroxycholecalciferol 1-mono-oxygenase,2025-09-11 22:49:37
49,Calcidiol 1-monooxygenase,2025-09-11 22:49:37
49,Calcidiol 1-monooxygenase (substance),2025-09-11 22:49:37
50,25-hydroxyvitamin D2,2025-09-11 22:49:37
50,25-hydroxy ergocalciferol,2025-09-11 22:49:37
50,25-hydroxyergocalciferol,2025-09-11 22:49:37
50,25-hydroxyergocalciferol (substance),2025-09-11 22:49:37
50,Ercalcidiol,2025-09-11 22:49:37
52,"3',5'-cyclic-nucleotide phosphodiesterase",2025-09-11 22:49:37
52,"3',5'-cyclic-nucleotide phosphodiesterase (substance)",2025-09-11 22:49:37
53,"3',5'-cyclic-GMP phosphodiesterase",2025-09-11 22:49:37
53,"3',5'-cyclic-guanosine monophosphate phosphodiesterase",2025-09-11 22:49:37
53,"3',5'-cyclic-guanosine monophosphate phosphodiesterase (substance)",2025-09-11 22:49:37
60,"3,4-methylenedioxyamphetamine",2025-09-11 22:49:37
60,MDA,2025-09-11 22:49:37
60,Methylenedioxyamphetamine,2025-09-11 22:49:37
60,Tenamfetamina,2025-09-11 22:49:37
60,Tenamfetamine,2025-09-11 22:49:37
60,Tenamfetaminum,2025-09-11 22:49:37
60,Methylenedioxyamphetamine (substance),2025-09-11 22:49:37
61,Beta alanine,2025-09-11 22:49:37
61,Beta alanine (substance),2025-09-11 22:49:37
61,beta-alanine,2025-09-11 22:49:37
61,3-aminopropanoic acid,2025-09-11 22:49:37
61,3-aminopropionic acid,2025-09-11 22:49:37
61,beta-Alanine,2025-09-11 22:49:37
61,β-alanine,2025-09-11 22:49:37
61,β-aminopropionic acid,2025-09-11 22:49:37
61,ω-aminopropionic acid,2025-09-11 22:49:37
61,BETA-ALANINE,2025-09-11 22:49:37
61,.BETA.-ALANINE,2025-09-11 22:49:37
63,meglutol,2025-09-11 22:49:37
72,3-oxoacyl-acyl-carrier-protein synthase,2025-09-11 22:49:37
72,3-oxoacyl-acyl-carrier-protein synthase (substance),2025-09-11 22:49:37
73,docosahexaenoate,2025-09-11 22:49:37
74,Aminobenzoic Acid,2025-09-11 22:49:37
74,Product containing para-aminobenzoic acid (medicinal product),2025-09-11 22:49:37
74,Para-Aminobenzoic Acid (PABA),2025-09-11 22:49:37
74,1-Amino-4-carboxybenzene,2025-09-11 22:49:37
74,4-Carboxyaniline,2025-09-11 22:49:37
74,p-Aminobenzoic acid,2025-09-11 22:49:37
74,p-Carboxyaniline,2025-09-11 22:49:37
74,p-Carboxyphenylamine,2025-09-11 22:49:37
74,para-Aminobenzoic acid,2025-09-11 22:49:37
74,4-aminobenzoic acid,2025-09-11 22:49:37
74,Para-aminobenzoic acid-containing product,2025-09-11 22:49:37
74,PABA,2025-09-11 22:49:37
74,Para-aminobenzoic acid,2025-09-11 22:49:37
74,paraaminobenzoic acid,2025-09-11 22:49:37
74,Para-aminobenzoic acid (substance),2025-09-11 22:49:37
74,PARA-AMINOBENZOIC ACID,2025-09-11 22:49:37
74,Para-Aminobenzoic Acid,2025-09-11 22:49:37
74,AMINOBENZOIC ACID,2025-09-11 22:49:37
74,aminobenzoic acid,2025-09-11 22:49:37
74,Aminobenzoic acid,2025-09-11 22:49:37
76,4-butyrolactone,2025-09-11 22:49:37
76,Gamma-butyrolactone,2025-09-11 22:49:37
76,Gamma-butyrolactone (substance),2025-09-11 22:49:37
76,"1,4-lactone",2025-09-11 22:49:37
76,4-hydroxybutyric acid lactone,2025-09-11 22:49:37
76,GBL,2025-09-11 22:49:37
76,dihydrofuran-2(3h)-one,2025-09-11 22:49:37
76,gamma-Butyrolactone,2025-09-11 22:49:37
76,γ-butyrolactone,2025-09-11 22:49:37
76,GBL - gamma-butyrolactone,2025-09-11 22:49:37
80,4-hydroxybenzoate 3-monooxygenase,2025-09-11 22:49:37
80,p-hydroxybenzoate hydroxylase,2025-09-11 22:49:37
